date|time|description|vendor|amount
2023-02-15|12:30:45|Lunch with coworkers|Cafeteria|-20.50
2023-03-03|17:45:20|Grocery shopping|Supermart|-75.25
2023-04-21|09:10:35|Medical appointment|City Hospital|-150.00
2023-05-09|08:20:00|Fuel refill|Gas Station|-40.75
2023-06-27|14:55:10|Dinner date|Fine Dining Restaurant|-100.00
2023-07-14|11:40:30|Haircut|Salon Deluxe|-35.50
2023-08-02|16:25:15|Movie tickets|Cinema World|-25.00
2023-09-18|10:15:00|Brunch with friends|Café Terrace|-45.75
2023-10-05|13:00:20|Online shopping|E-commerce Store|-90.25
2023-11-23|19:30:45|Dinner party|Friend's House|-80.00
2023-12-10|08:50:10|Gift shopping|Department Store|-120.50
2024-01-28|15:15:30|Gym membership renewal|Fitness Center|-60.00
2024-02-15|12:00:00|Valentine's Day dinner|Romantic Bistro|-150.75
2024-03-09|10:45:20|Coffee and pastry|Café Mocha|-15.25
2024-04-27|11:20:35|Home repairs|Handyman Services|-200.50
2023-02-20|14:10:25|Freelance work payment|Client A|150.00
2023-05-03|09:45:30|Sold old furniture|Online Marketplace|200.50
2023-07-18|12:20:15|Consultation fee|Legal Services|300.75
2023-10-10|16:30:00|Stock dividends|Investment Firm|75.25
2024-01-15|11:55:45|Artwork sale|Gallery|500.00
2022-03-10|15:30:45|Freelance project payment|Client A|300.00
2022-05-05|12:45:30|Sold old textbooks|Online Marketplace|50.25
2022-07-20|09:20:15|Consultation fee|Legal Services|150.75
2022-09-14|14:00:00|Car repair expenses|Auto Service Center|-200.50
2022-11-28|11:55:45|Grocery shopping|Supermarket|-75.00
2024-04-29|13:22:13|Getting starbucks|Starbucks|-8.50
2024-04-29|13:22:43|Biweekly paycheck|YearUp|100.00
